SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,RIDEXPRG,SIALANG
62398,1,9,3,,1
62399,2,53,1,,2
62400,2,31,3,2,1
62401,2,15,3,,1
62402,1,48,5,,1
62403,2,3,4,,1
62404,1,44,4,,1
62405,1,5,2,,2
62406,2,10,2,,1
62407,1,49,5,,1
62408,1,58,3,,1
62409,2,80,3,,1
62410,1,5,4,,1
62411,2,51,4,,1
62412,1,16,1,,2
62413,1,65,3,,1
62414,1,58,4,,1
62415,2,27,3,1,1
62416,2,19,2,,1
62417,2,26,2,2,1
62418,1,80,3,,1
62419,1,80,3,,1
62420,1,24,1,,1
62421,1,23,5,,1
62422,2,72,3,,1
62423,2,8,4,,1
62424,1,20,2,,2
62425,2,30,3,2,1
62426,1,9,1,,1
62427,1,15,4,,1
62428,2,12,4,,1
62429,1,47,4,,1
62430,1,27,2,,1
62431,1,54,4,,1
62432,2,38,3,2,1
62433,1,10,4,,1
62434,2,61,4,,1
62435,2,0,3,,1
62436,1,4,1,,2
62437,1,39,1,,2
62438,1,0,4,,1
62439,1,75,3,,1
62440,1,22,1,,1
62441,1,68,2,,2
62442,1,0,4,,1
62443,2,4,4,,1
62444,2,23,4,2,1
62445,2,42,4,2,1
62446,2,4,2,,1
62447,2,19,1,,1
62448,1,13,1,,2
62449,2,38,2,2,1
62450,1,57,3,,1
62451,2,0,3,,1
62452,1,39,2,,2
62453,2,2,4,,1
62454,2,64,2,,2
62455,1,18,4,,1
62456,1,17,4,,1
62457,1,69,4,,1
62458,1,13,5,,1
62459,1,4,3,,1
62460,1,41,3,,1
62461,2,29,4,2,1
62462,2,11,3,,1
62463,1,7,1,,2
62464,1,32,3,,1
62465,2,44,4,2,1
62466,1,4,4,,1
62467,1,65,3,,1
62468,2,0,2,,2
62469,1,9,4,,1
62470,1,4,1,,2
62471,2,76,3,,1
62472,1,31,4,,1
62473,2,17,4,,1
62474,2,71,3,,1
62475,1,22,3,,1
62476,1,40,3,,1
62477,1,11,3,,1
62478,1,5,4,,1
62479,2,36,5,2,1
62480,1,43,3,,1
62481,2,39,2,2,2
62482,2,32,3,2,1
62483,1,11,3,,1
62484,2,42,4,2,1
62485,1,21,4,,1
62486,2,14,3,,1
62487,1,65,2,,1
62488,1,9,3,,1
62489,2,1,4,,1
62490,1,0,3,,1
62491,2,61,5,,1
62492,1,6,5,,1
62493,2,0,5,,1
62494,1,28,2,,1
62495,1,44,3,,1
62496,1,4,1,,2
62497,1,12,3,,1
62498,2,13,1,,1
62499,2,1,5,,1
62500,2,52,4,,1
62501,2,30,3,2,1
62502,1,35,4,,1
62503,1,5,3,,1
62504,2,30,2,2,2
62505,2,3,1,,2
62506,2,46,2,,2
62507,2,17,1,,1
62508,1,3,3,,1
62509,2,60,3,,1
62510,2,80,3,,1
62511,1,9,3,,1
62512,1,39,5,,1
62513,2,46,2,,2
62514,1,44,3,,1
62515,2,42,2,2,2
62516,1,10,2,,1
62517,1,80,3,,1
62518,1,47,5,,1
62519,1,56,4,,1
62520,1,0,3,,1
62521,2,59,3,,1
62522,1,54,3,,1
62523,1,33,4,,1
62524,1,23,3,,1
62525,1,15,5,,1
62526,2,62,2,,2
62527,1,79,4,,1
62528,1,40,2,,2
62529,1,59,4,,1
62530,2,51,3,,1
62531,2,52,4,,1
62532,2,64,4,,1
62533,2,1,1,,1
62534,1,13,5,,1
62535,2,5,3,,1
62536,1,46,5,,1
62537,2,10,3,,1
62538,2,1,4,,1
62539,1,60,4,,1
62540,2,0,3,,1
62541,2,13,3,,1
62542,2,11,2,,2
62543,2,1,2,,2
62544,1,42,4,,1
62545,1,8,2,,1
62546,1,64,1,,1
62547,1,9,1,,2
62548,1,57,2,,1
62549,1,53,5,,1
62550,2,9,5,,1
62551,2,37,3,2,1
62552,2,41,3,2,1
62553,1,8,5,,1
62554,2,15,5,,1
62555,1,35,4,,1
62556,2,31,5,2,1
62557,1,10,1,,2
62558,2,49,4,,1
62559,2,9,1,,2
62560,2,56,4,,1
62561,2,10,3,,1
62562,1,4,1,,1
62563,2,72,4,,1
62564,2,13,4,,1
62565,1,23,5,,1
62566,2,2,4,,1
62567,2,80,3,,1
62568,2,1,1,,2
62569,2,80,3,,1
62570,1,6,4,,1
62571,2,32,3,2,1
62572,2,80,3,,1
62573,2,48,3,,1
62574,2,13,3,,1
62575,2,24,3,2,1
62576,1,66,1,,2
62577,2,71,3,,1
62578,2,6,3,,1
62579,1,78,1,,2
62580,2,14,3,,1
62581,2,10,3,,1
62582,2,10,3,,1
62583,2,17,3,,1
62584,1,22,3,,1
62585,2,80,4,,1
62586,1,70,3,,1
62587,1,73,3,,1
62588,1,21,3,,1
62589,2,75,3,,1
62590,1,11,4,,1
62591,1,10,3,,1
62592,1,0,3,,1
62593,2,72,3,,1
62594,1,0,4,,1
62595,2,28,5,3,1
62596,2,52,5,,1
62597,2,60,4,,1
62598,1,18,4,,1
62599,2,50,4,,1
62600,1,10,2,,1
62601,1,65,4,,1
62602,2,80,3,,1
62603,2,38,1,2,1
62604,2,73,3,,1
62605,1,1,5,,1
62606,1,2,4,,1
62607,1,4,4,,1
62608,2,67,2,,1
62609,1,9,3,,1
62610,2,12,2,,2
62611,1,45,5,,1
62612,2,38,5,2,1
62613,2,29,4,2,1
62614,1,12,3,,1
62615,2,0,4,,1
62616,2,37,5,2,1
62617,1,8,5,,1
62618,1,10,5,,1
62619,1,80,3,,1
62620,2,7,2,,1
62621,1,41,4,,1
62622,2,15,5,,1
62623,2,78,3,,1
62624,2,40,5,2,1
62625,2,60,1,,1
62626,1,13,1,,2
62627,2,2,1,,2
62628,2,1,3,,1
62629,1,11,5,,1
62630,2,68,3,,1
62631,2,37,3,2,1
62632,1,29,5,,1
62633,2,61,5,,1
62634,1,68,3,,1
62635,2,27,5,2,1
62636,1,17,4,,1
62637,2,3,4,,1
62638,2,9,4,,1
62639,2,26,2,2,2
62640,2,31,3,2,1
62641,1,2,1,,1
62642,1,30,3,,1
62643,2,2,4,,1
62644,1,61,4,,1
62645,2,12,5,,1
62646,2,57,4,,1
62647,1,0,2,,1
62648,2,80,5,,1
62649,1,76,4,,1
62650,1,71,4,,1
62651,1,55,3,,1
62652,1,46,1,,1
62653,1,49,5,,1
62654,1,4,3,,1
62655,1,1,4,,1
62656,2,0,1,,2
62657,2,2,1,,2
62658,1,68,3,,1
62659,1,18,5,,1
62660,2,7,5,,1
62661,1,35,3,,1
62662,2,11,1,,1
62663,2,3,2,,1
62664,1,64,3,,1
62665,2,67,4,,1
62666,1,3,5,,1
62667,1,6,3,,1
62668,1,33,4,,1
62669,1,33,3,,1
62670,1,13,3,,1
62671,1,69,4,,1
62672,2,13,4,,1
62673,1,34,1,,2
62674,2,33,3,2,1
62675,1,0,3,,1
62676,2,17,3,,1
62677,2,30,1,2,1
62678,1,68,2,,2
62679,2,7,1,,2
62680,1,68,5,,1
62681,2,5,1,,2
62682,2,62,3,,1
62683,2,55,5,,1
62684,2,29,3,2,1
62685,1,36,5,,1
62686,2,80,3,,1
62687,1,10,4,,1
62688,1,24,5,,1
62689,1,44,3,,1
62690,2,26,4,2,1
62691,1,31,4,,1
62692,2,50,4,,1
62693,2,69,1,,1
62694,1,37,3,,1
62695,2,41,4,2,1
62696,1,13,4,,1
62697,1,9,2,,1
62698,1,80,3,,1
62699,1,1,4,,1
62700,1,9,4,,1
62701,2,29,2,2,1
62702,2,12,2,,1
62703,2,2,4,,1
62704,1,80,5,,1
62705,2,30,2,2,1
62706,2,39,4,2,1
62707,2,49,3,,1
62708,1,52,5,,1
62709,2,10,3,,1
62710,1,41,2,,2
62711,1,1,3,,1
62712,2,4,2,,1
62713,1,15,3,,1
62714,1,75,1,,2
62715,1,10,3,,1
62716,2,42,5,2,1
62717,2,50,3,,1
62718,1,63,4,,1
62719,1,74,2,,2
62720,1,58,3,,1
62721,2,2,3,,1
62722,1,1,1,,2
62723,2,31,3,2,1
62724,2,57,3,,1
62725,2,3,5,,1
62726,2,1,3,,1
62727,2,80,3,,1
62728,2,32,4,2,1
62729,2,1,2,,2
62730,1,0,3,,1
62731,1,19,1,,2
62732,2,71,1,,2
62733,1,5,5,,1
62734,1,52,4,,1
62735,1,39,3,,1
62736,2,40,4,2,1
62737,1,58,5,,1
62738,1,6,3,,1
62739,1,74,3,,1
62740,2,19,4,,1
62741,2,0,4,,1
62742,1,70,2,,2
62743,1,0,3,,1
62744,1,37,2,,1
62745,2,71,4,,1
62746,2,38,2,2,2
62747,1,52,4,,1
62748,1,13,2,,2
62749,1,48,4,,1
62750,2,45,5,,1
62751,1,8,3,,1
62752,1,35,3,,1
62753,2,16,4,,1
62754,2,0,3,,1
62755,2,19,4,,1
62756,1,7,3,,1
62757,1,54,3,,1
62758,2,9,5,,1
62759,2,22,4,2,1
62760,2,10,2,,1
62761,1,68,1,,1
62762,2,1,1,,1
62763,1,29,3,,1
62764,2,51,2,,1
62765,2,29,5,2,1
62766,1,1,5,,1
62767,2,40,2,3,1
62768,2,38,1,2,2
62769,2,13,3,,1
62770,1,1,3,,1
62771,1,30,4,,1
62772,2,46,1,,2
62773,2,50,3,,1
62774,1,80,3,,1
62775,2,69,2,,2
62776,1,9,4,,1
62777,1,28,5,,1
62778,2,4,3,,1
62779,1,32,3,,1
62780,2,5,3,,1
62781,2,3,1,,1
62782,2,0,5,,1
62783,2,6,2,,1
62784,1,31,2,,1
62785,1,4,4,,1
62786,1,7,1,,2
62787,2,21,5,2,1
62788,1,35,1,,2
62789,2,26,5,2,1
62790,2,11,4,,1
62791,1,14,3,,1
62792,2,52,3,,1
62793,1,72,3,,1
62794,2,45,4,,1
62795,1,20,3,,1
62796,2,17,5,,1
62797,2,24,5,2,1
62798,1,50,2,,1
62799,2,0,4,,1
62800,2,15,3,,1
62801,2,19,3,,1
62802,1,6,3,,1
62803,2,34,3,2,1
62804,1,69,3,,1
62805,2,41,4,2,1
62806,1,53,4,,1
62807,1,67,3,,1
62808,2,44,1,2,2
62809,2,51,3,,1
62810,2,15,3,,1
62811,2,40,4,2,1
62812,1,50,1,,2
62813,1,71,3,,1
62814,1,72,4,,1
62815,1,4,2,,1
62816,1,23,5,,1
62817,1,41,4,,1
62818,2,52,4,,1
62819,2,59,3,,1
62820,2,53,5,,1
62821,2,56,4,,1
62822,1,33,3,,1
62823,1,46,4,,1
62824,2,40,4,2,1
62825,2,3,1,,1
62826,2,80,5,,1
62827,2,0,5,,1
62828,2,21,3,3,1
62829,1,0,1,,1
62830,1,14,3,,1
62831,2,4,1,,2
62832,2,15,1,,2
62833,2,18,3,,1
62834,1,6,1,,2
62835,2,66,5,,1
62836,1,25,2,,2
62837,2,18,3,,1
62838,2,44,4,2,1
62839,2,3,4,,1
62840,1,60,3,,1
62841,1,52,4,,1
62842,1,4,4,,1
62843,1,14,2,,2
62844,1,7,5,,1
62845,1,27,4,,1
62846,2,80,4,,1
62847,1,44,2,,1
62848,1,38,4,,1
62849,2,40,4,2,1
62850,2,1,5,,1
62851,1,27,3,,1
62852,2,4,4,,1
62853,1,16,5,,1
62854,1,8,4,,1
62855,2,47,3,,1
62856,2,2,1,,2
62857,2,0,4,,1
62858,1,17,4,,1
62859,2,53,4,,1
62860,1,55,5,,1
62861,2,80,3,,1
62862,1,0,3,,1
62863,2,1,1,,1
62864,2,57,3,,1
62865,1,17,5,,1
62866,2,5,3,,1
62867,1,12,3,,1
62868,1,27,3,,1
62869,1,2,4,,1
62870,1,13,1,,2
62871,1,48,5,,1
62872,2,17,3,,1
62873,1,15,4,,1
62874,2,33,1,2,2
62875,2,46,3,,1
62876,2,74,3,,1
62877,1,8,4,,1
62878,1,15,4,,1
62879,2,14,4,,1
62880,2,64,3,,1
62881,2,57,3,,1
62882,1,59,5,,1
62883,2,80,3,,1
62884,2,36,3,3,1
62885,1,60,4,,1
62886,1,21,4,,1
62887,2,62,4,,1
62888,1,6,4,,1
62889,1,2,2,,1
62890,2,16,5,,1
62891,2,74,4,,1
62892,1,50,4,,1
62893,2,21,1,2,2
62894,2,9,4,,1
62895,1,33,3,,1
62896,2,5,3,,1
62897,1,5,2,,1
62898,2,24,4,2,1
62899,2,45,2,,2
62900,2,68,4,,1
62901,2,64,5,,1
62902,2,48,3,,1
62903,1,7,5,,1
62904,1,2,4,,1
62905,2,1,5,,1
62906,2,0,1,,1
62907,2,16,2,,1
62908,1,21,2,,2
62909,2,31,2,2,1
62910,2,7,4,,1
62911,1,16,1,,1
62912,1,59,3,,1
62913,2,40,4,2,1
62914,2,4,3,,1
62915,1,35,1,,2
62916,1,22,1,,1
62917,1,13,3,,1
62918,1,25,4,,1
62919,2,34,3,2,1
62920,1,3,2,,1
62921,2,10,4,,1
62922,2,31,3,2,1
62923,1,21,4,,1
62924,2,79,4,,1
62925,2,18,3,,1
62926,2,1,1,,2
62927,1,63,3,,1
62928,2,43,4,2,1
62929,1,68,4,,1
62930,1,23,1,,2
62931,1,15,5,,1
62932,2,2,3,,1
62933,2,17,5,,1
62934,2,60,3,,1
62935,1,51,2,,1
62936,2,35,3,2,1
62937,2,63,4,,1
62938,2,32,4,2,1
62939,1,38,2,,1
62940,1,62,4,,1
62941,2,55,4,,1
62942,1,48,3,,1
62943,1,15,2,,1
62944,2,17,4,,1
62945,2,48,4,,1
62946,1,9,4,,1
62947,2,68,2,,2
62948,1,79,3,,1
62949,2,8,4,,1
62950,2,16,3,,1
62951,2,23,4,2,1
62952,1,20,5,,1
62953,1,44,5,,1
62954,1,28,4,,1
62955,2,31,3,3,1
62956,2,0,5,,1
62957,2,3,5,,1
62958,2,72,3,,1
62959,2,13,5,,1
62960,2,3,4,,1
62961,1,0,4,,1
62962,1,2,4,,1
62963,2,6,5,,1
62964,1,22,5,,1
62965,2,3,5,,1
62966,2,21,4,2,1
62967,1,36,4,,1
62968,1,5,2,,2
62969,1,14,4,,1
62970,1,6,2,,1
62971,1,53,3,,1
62972,1,3,2,,1
62973,1,10,1,,1
62974,1,30,3,,1
62975,2,10,4,,1
62976,2,18,3,,1
62977,1,25,2,,1
62978,2,18,1,,1
62979,2,68,3,,1
62980,1,39,3,,1
62981,1,32,4,,1
62982,2,66,3,,1
62983,1,7,4,,1
62984,2,5,2,,1
62985,1,68,5,,1
62986,1,14,3,,1
62987,1,10,2,,2
62988,1,10,2,,1
62989,2,1,5,,1
62990,1,79,3,,1
62991,1,24,3,,1
62992,2,9,1,,1
62993,2,34,3,2,1
62994,2,49,5,,1
62995,1,18,4,,1
62996,2,9,2,,1
62997,1,60,3,,1
62998,1,19,5,,1
62999,2,9,5,,1
63000,2,60,4,,1
63001,1,5,4,,1
63002,2,54,2,,2
63003,1,40,3,,1
63004,2,38,5,3,1
63005,1,19,1,,1
63006,1,53,3,,1
63007,1,80,3,,1
63008,1,38,4,,1
63009,1,6,4,,1
63010,2,78,4,,1
63011,2,16,3,,1
63012,1,65,3,,1
63013,1,65,5,,1
63014,2,11,4,,1
63015,1,65,5,,1
63016,2,14,2,,2
63017,1,71,5,,1
63018,1,10,3,,1
63019,2,65,2,,2
63020,1,6,1,,2
63021,2,46,5,,1
63022,1,49,3,,1
63023,1,25,3,,1
63024,2,78,4,,1
63025,2,79,4,,1
63026,2,31,3,2,1
63027,1,15,1,,2
63028,2,6,1,,2
63029,2,2,5,,1
63030,1,21,1,,1
63031,2,77,4,,1
63032,1,14,4,,1
63033,1,45,3,,1
63034,2,5,3,,1
63035,1,7,5,,1
63036,2,74,5,,1
63037,2,41,2,2,2
63038,2,2,5,,1
63039,2,2,1,,1
63040,2,54,5,,1
63041,1,35,5,,1
63042,2,12,4,,1
63043,2,20,5,2,1
63044,1,35,3,,1
63045,2,53,1,,1
63046,1,1,3,,1
63047,2,6,3,,1
63048,1,29,5,,1
63049,1,19,2,,1
63050,1,24,4,,1
63051,1,30,5,,1
63052,2,37,5,2,1
63053,2,8,1,,2
63054,2,11,1,,1
63055,2,2,3,,1
63056,1,21,5,,1
63057,1,29,3,,1
63058,2,13,5,,1
63059,1,7,4,,1
63060,2,7,1,,1
63061,2,37,4,1,1
63062,1,4,4,,1
63063,2,7,3,,1
63064,1,61,4,,1
63065,1,11,1,,2
63066,1,3,3,,1
63067,2,0,5,,1
63068,1,9,3,,1
63069,1,20,5,,1
63070,2,70,2,,2
63071,2,53,4,,1
63072,2,12,3,,1
63073,1,16,3,,1
63074,1,3,4,,1
63075,2,12,2,,1
63076,1,53,4,,1
63077,1,38,3,,1
63078,1,6,1,,1
63079,1,17,5,,1
63080,2,34,3,1,1
63081,1,62,5,,1
63082,2,59,3,,1
63083,2,71,3,,1
63084,1,4,3,,1
63085,2,4,4,,1
63086,2,74,3,,1
63087,1,3,3,,1
63088,1,44,5,,1
63089,2,43,3,2,1
63090,2,15,3,,1
63091,1,70,3,,1
63092,2,17,4,,1
63093,2,10,3,,1
63094,1,80,3,,1
63095,2,4,4,,1
63096,1,8,2,,1
63097,1,70,3,,1
63098,2,10,3,,1
63099,2,3,2,,2
63100,2,13,1,,1
63101,1,6,4,,1
63102,2,19,1,,2
63103,1,46,5,,1
63104,2,6,4,,1
63105,1,14,5,,1
63106,1,50,3,,1
63107,2,66,2,,2
63108,1,21,3,,1
63109,2,41,3,2,1
63110,1,36,4,,1
63111,1,8,1,,2
63112,2,66,5,,1
63113,2,3,1,,1
63114,1,15,5,,1
63115,1,4,3,,1
63116,2,34,3,2,1
63117,1,24,5,,1
63118,1,16,1,,1
63119,1,37,3,,1
63120,2,4,3,,1
63121,1,9,1,,1
63122,2,3,2,,2
63123,1,55,4,,1
63124,2,54,5,,1
63125,2,46,4,,1
63126,1,44,3,,1
63127,1,28,5,,1
63128,2,34,4,3,1
63129,1,14,1,,1
63130,2,16,5,,1
63131,2,2,4,,1
63132,2,80,5,,1
63133,1,24,1,,1
63134,2,66,2,,2
63135,1,15,4,,1
63136,1,18,3,,1
63137,1,49,5,,1
63138,1,15,3,,1
63139,2,25,4,2,1
63140,2,9,1,,2
63141,2,34,4,2,1
63142,1,54,4,,1
63143,1,70,5,,1
63144,1,1,2,,2
63145,1,50,4,,1
63146,2,6,4,,1
63147,1,41,3,,1
63148,1,40,1,,2
63149,2,43,3,2,1
63150,1,19,3,,1
63151,1,44,4,,1
63152,2,62,5,,1
63153,1,2,2,,1
63154,1,36,1,,2
63155,1,18,3,,1
63156,2,70,3,,1
63157,1,13,3,,1
63158,2,0,3,,1
63159,1,48,3,,1
63160,2,61,3,,1
63161,2,37,2,2,2
63162,2,58,4,,1
63163,1,48,3,,1
63164,1,54,1,,1
63165,2,13,4,,1
63166,2,17,4,,1
63167,1,37,5,,1
63168,1,10,5,,1
63169,2,33,3,2,1
63170,2,53,1,,2
63171,1,20,5,,1
63172,2,68,1,,2
63173,1,18,5,,1
63174,2,47,2,,1
63175,1,15,3,,1
63176,1,19,4,,1
63177,1,60,4,,1
63178,2,40,4,2,1
63179,1,8,2,,2
63180,1,50,5,,1
63181,2,67,2,,1
63182,2,14,4,,1
63183,2,44,4,2,1
63184,1,3,3,,1
63185,1,3,4,,1
63186,1,11,5,,1
63187,1,80,3,,1
63188,2,60,4,,1
63189,2,0,4,,1
63190,1,53,3,,1
63191,2,30,3,2,1
63192,2,80,3,,1
63193,2,41,3,2,1
63194,2,56,5,,1
63195,1,59,2,,2
63196,1,39,4,,1
63197,2,27,4,1,1
63198,1,80,4,,1
63199,1,12,3,,1
63200,2,59,3,,1
63201,1,7,1,,1
63202,1,0,5,,1
63203,2,80,3,,1
63204,2,44,3,2,1
63205,1,67,3,,1
63206,1,38,4,,1
63207,2,8,3,,1
63208,1,30,3,,1
63209,1,39,3,,1
63210,1,10,4,,1
63211,2,46,3,,1
63212,1,62,4,,1
63213,1,43,5,,1
63214,1,37,1,,2
63215,2,62,4,,1
63216,1,54,1,,1
63217,2,8,5,,1
63218,1,35,1,,2
63219,1,39,5,,1
63220,1,27,3,,1
63221,2,67,1,,1
63222,2,51,4,,1
63223,1,59,3,,1
63224,2,31,1,2,1
63225,2,63,4,,1
63226,2,2,2,,2
63227,2,40,1,2,2
63228,1,27,2,,1
63229,1,40,4,,1
63230,1,48,5,,1
63231,2,42,2,2,2
63232,2,14,4,,1
63233,1,32,4,,1
63234,2,35,5,2,1
63235,2,63,1,,1
63236,1,80,2,,1
63237,1,2,3,,1
63238,2,80,2,,2
63239,2,6,4,,1
63240,1,5,2,,1
63241,1,9,3,,1
63242,1,59,1,,2
63243,1,2,1,,1
63244,1,4,4,,1
63245,2,40,3,2,1
63246,1,13,4,,1
63247,1,19,5,,1
63248,1,75,3,,1
63249,1,67,3,,1
63250,1,17,3,,1
63251,2,80,5,,1
63252,1,7,4,,1
63253,2,13,4,,1
63254,2,72,2,,2
63255,1,64,4,,1
63256,1,9,4,,1
63257,2,6,5,,1
63258,1,1,3,,1
63259,2,7,1,,1
63260,2,42,5,2,1
63261,2,41,4,2,1
63262,2,76,1,,2
63263,1,53,2,,2
63264,1,32,5,,1
63265,2,28,4,2,1
63266,1,0,4,,1
63267,2,72,3,,1
63268,1,12,2,,2
63269,2,80,3,,1
63270,1,4,1,,1
63271,1,19,5,,1
63272,2,20,5,2,1
63273,1,66,4,,1
63274,2,5,5,,1
63275,1,0,3,,1
63276,1,67,3,,1
63277,1,18,3,,1
63278,2,3,5,,1
63279,1,1,4,,1
63280,1,12,5,,1
63281,1,40,1,,2
63282,1,5,5,,1
63283,1,36,5,,1
63284,1,79,3,,1
63285,2,80,3,,1
63286,2,0,3,,1
63287,2,78,4,,1
63288,2,58,4,,1
63289,1,6,3,,1
63290,2,16,4,,1
63291,1,47,4,,1
63292,2,6,5,,1
63293,2,61,1,,1
63294,2,62,5,,1
63295,1,80,3,,1
63296,2,55,5,,1
63297,1,50,3,,1
63298,2,22,5,2,1
63299,1,17,1,,1
63300,2,5,1,,1
63301,2,63,4,,1
63302,1,28,3,,1
63303,1,7,1,,2
63304,2,32,3,2,1
63305,1,37,3,,1
63306,1,37,2,,1
63307,1,8,3,,1
